,__id_left,__id_right,match_score,match_rank,course,g_course,city,g_city,state,g_state,country,g_country
0,0_left,212_right,0.7784806951789185,1,Wynlakes,Wynlakes Golf & Country Club,Montgomery,Montgomery,Alabama,Alabama,US,US
1,1_left,210_right,0.7049225665272882,1,Lagoon Park,Lagoon Park Golf Course,Montgomery,Montgomery,Alabama,Alabama,US,US
2,2_left,276_right,0.0020383589513591643,1,University of Alabama Golf Course,Country Club of Tuscaloosa,Tuscaloosa,Tuscaloosa,Alabama,Alabama,US,US
3,2_left,280_right,-0.19656305851011524,2,University of Alabama Golf Course,Tall Pines Golf Club,Tuscaloosa,Tuscaloosa,Alabama,Alabama,US,US
4,2_left,277_right,-0.2524872327051603,3,University of Alabama Golf Course,Indian Hills Country Club,Tuscaloosa,Tuscaloosa,Alabama,Alabama,US,US
5,2_left,24_right,-0.3299034906009954,4,University of Alabama Golf Course,Auburn University Club,Tuscaloosa,Auburn,Alabama,Alabama,US,US
6,2_left,278_right,-0.3308657714197958,5,University of Alabama Golf Course,NorthRiver Yacht Club,Tuscaloosa,Tuscaloosa,Alabama,Alabama,US,US
103,3_left,218_right,0.5979218531672358,1,Hidden Meadows,Hidden Meadows Golf Course,Nortport,Northport,Alabama,Alabama,US,US
104,3_left,230_right,0.5979218531672358,2,Hidden Meadows,Hidden Meadows Golf Course,Nortport,Northport,Alabama,Alabama,US,US
105,4_left,30_right,-0.000576106456057449,1,Bent Brook,Woodward Golf Club,Bessemer,Bessemer,Alabama,Alabama,US,US
106,4_left,32_right,-0.017607720043364212,2,Bent Brook,Bent Brook Golf Course - Brook to Windmill,Bessemer,Birmingham,Alabama,Alabama,US,US
107,4_left,34_right,-0.017607720043364212,3,Bent Brook,Bent Brook Golf Course - Windmill to Brook,Bessemer,Birmingham,Alabama,Alabama,US,US
108,4_left,31_right,-0.032252143171039645,4,Bent Brook,Bent Brook Golf Course - Brook to Graveyard,Bessemer,Birmingham,Alabama,Alabama,US,US
109,4_left,44_right,-0.15106188203289045,5,Bent Brook,Mountain Brook Club,Bessemer,Birmingham,Alabama,Alabama,US,US
218,5_left,138_right,0.876991491582526,1,Pikeville Country Club,Pikeville Country Club,Guin,Guin,Alabama,Alabama,US,US
219,6_left,137_right,0.7190668128947271,1,RTJ - Cambrian Ridge - 27,RTJ Golf Trail at Cambrian Ridge - Short,Greenville,Greenville,Alabama,Alabama,US,US
220,6_left,134_right,0.5795019769469466,2,RTJ - Cambrian Ridge - 27,RTJ Golf Trail at Cambrian Ridge - Canyon/Loblolly,Greenville,Greenville,Alabama,Alabama,US,US
221,6_left,136_right,0.5694676437581472,3,RTJ - Cambrian Ridge - 27,RTJ Golf Trail at Cambrian Ridge - Sherling/Canyon,Greenville,Greenville,Alabama,Alabama,US,US
222,6_left,135_right,0.521358877509524,4,RTJ - Cambrian Ridge - 27,RTJ Golf Trail at Cambrian Ridge - Loblolly/Sherling,Greenville,Greenville,Alabama,Alabama,US,US
223,7_left,252_right,1.4555536182919526,1,RTJ - Capitol Hill - Judge,RTJ Golf Trail at Capitol Hill - Judge,Prattville,Prattville,Alabama,Alabama,US,US
224,8_left,253_right,1.0073781377814701,1,RTJ - Capitol Hill - Legistator,RTJ Golf Trail at Capitol Hill - Legislator,Prattville,Prattville,Alabama,Alabama,US,US
225,8_left,254_right,0.749134643082868,2,RTJ - Capitol Hill - Legistator,RTJ Golf Trail at Capitol Hill - Senator,Prattville,Prattville,Alabama,Alabama,US,US
226,8_left,252_right,0.7391003098940686,3,RTJ - Capitol Hill - Legistator,RTJ Golf Trail at Capitol Hill - Judge,Prattville,Prattville,Alabama,Alabama,US,US
227,9_left,254_right,1.2480817757800255,1,RTJ - Capitol Hill - Senator,RTJ Golf Trail at Capitol Hill - Senator,Prattville,Prattville,Alabama,Alabama,US,US
228,10_left,221_right,1.0828764191039615,1,RTJ - Grand National - Lake,RTJ Golf Trail at Grand National - Lake,Opelika,Opelika,Alabama,Alabama,US,US
229,10_left,233_right,1.0828764191039615,2,RTJ - Grand National - Lake,RTJ Golf Trail at Grand National - Lake,Opelika,Opelika,Alabama,Alabama,US,US
230,11_left,222_right,1.0898819274854925,1,RTJ - Grand National - Links,RTJ Golf Trail at Grand National - Links,Opelika,Opelika,Alabama,Alabama,US,US
231,11_left,234_right,1.0898819274854925,2,RTJ - Grand National - Links,RTJ Golf Trail at Grand National - Links,Opelika,Opelika,Alabama,Alabama,US,US
232,12_left,228_right,0.2839510248389764,1,RTJ - Hampton Cove - course?,RTJ Golf Trail at Hampton Cove - River,Huntsville,Owens Crossroads,Alabama,Alabama,US,US
233,12_left,240_right,0.2839510248389764,2,RTJ - Hampton Cove - course?,RTJ Golf Trail at Hampton Cove - River,Huntsville,Owens Crossroads,Alabama,Alabama,US,US
234,12_left,227_right,0.26578210577922967,3,RTJ - Hampton Cove - course?,RTJ Golf Trail at Hampton Cove - Highlands,Huntsville,Owens Crossroads,Alabama,Alabama,US,US
235,12_left,239_right,0.26578210577922967,4,RTJ - Hampton Cove - course?,RTJ Golf Trail at Hampton Cove - Highlands,Huntsville,Owens Crossroads,Alabama,Alabama,US,US
236,12_left,241_right,0.25453054479623816,5,RTJ - Hampton Cove - course?,RTJ Golf Trail at Hampton Cove - Short,Huntsville,Owens Crossroads,Alabama,Alabama,US,US
322,13_left,90_right,0.8109261016477168,1,RTJ - Highland Oaks - 27,RTJ Golf Trail at Highland Oaks - Short,Dothan,Dothan,Alabama,Alabama,US,US
323,13_left,88_right,0.8057989395028993,2,RTJ - Highland Oaks - 27,RTJ Golf Trail at Highland Oaks - Magnolia/Highlands,Dothan,Dothan,Alabama,Alabama,US,US
324,13_left,87_right,0.768300981615956,3,RTJ - Highland Oaks - 27,RTJ Golf Trail at Highland Oaks - Highlands/Marshwood,Dothan,Dothan,Alabama,Alabama,US,US
325,13_left,89_right,0.6524212082310367,4,RTJ - Highland Oaks - 27,RTJ Golf Trail at Highland Oaks - Marshwood/Magnolia,Dothan,Dothan,Alabama,Alabama,US,US
326,14_left,198_right,1.3542423854321948,1,RTJ - Magnolia Grove - Crossings,RTJ Golf Trail at Magnolia Grove - Crossings,Mobile,Mobile,Alabama,Alabama,US,US
327,15_left,199_right,1.288956480283678,1,RTJ - Magnolia Grove - Falls,RTJ Golf Trail at Magnolia Grove - Falls,Mobile,Mobile,Alabama,Alabama,US,US
328,16_left,48_right,1.0969633137476502,1,RTJ - Oxmoor Valley - Ridge,RTJ Golf Trail at Oxmoor Valley - Ridge,Birmingham,Birmingham,Alabama,Alabama,US,US
329,17_left,50_right,0.9415295227899663,1,RTJ - Oxmoor Valley - Valley,RTJ Golf Trail at Oxmoor Valley - Valley,Birmingham,Birmingham,Alabama,Alabama,US,US
330,17_left,48_right,0.8641609506538823,2,RTJ - Oxmoor Valley - Valley,RTJ Golf Trail at Oxmoor Valley - Ridge,Birmingham,Birmingham,Alabama,Alabama,US,US
331,17_left,49_right,0.8307769115498645,3,RTJ - Oxmoor Valley - Valley,RTJ Golf Trail at Oxmoor Valley - Short,Birmingham,Birmingham,Alabama,Alabama,US,US
332,18_left,127_right,0.18492168376957566,1,RTJ - Silver Lakes - 27,RTJ Golf Trail at Silver Lakes - Short,Gadsden,Glencoe,Alabama,Alabama,US,US
333,18_left,126_right,-0.022820584804426718,2,RTJ - Silver Lakes - 27,RTJ Golf Trail at Silver Lakes - Mindbreaker/Heartbreaker,Gadsden,Glencoe,Alabama,Alabama,US,US
334,18_left,124_right,-0.022820584804426725,3,RTJ - Silver Lakes - 27,RTJ Golf Trail at Silver Lakes - Backbreaker/Mindbreaker,Gadsden,Glencoe,Alabama,Alabama,US,US
335,18_left,125_right,-0.022820584804426725,4,RTJ - Silver Lakes - 27,RTJ Golf Trail at Silver Lakes - Heartbreaker/Backbreaker,Gadsden,Glencoe,Alabama,Alabama,US,US
336,19_left,207_right,0.3206580346576832,1,Cypress Tree - Maxwell AFB,Cypress Tree Golf Course - River,Montgomery,Montgomery,Alabama,Alabama,US,US
337,19_left,208_right,0.2919801011053168,2,Cypress Tree - Maxwell AFB,Cypress Tree Golf Course - University,Montgomery,Montgomery,Alabama,Alabama,US,US
338,20_left,11783_right,1.1062724398438024,1,Lido Golf Club,Lido Golf Club,Lido Beach,Lido Beach,New York,New York,US,US
339,21_left,14559_right,-0.14519267317548856,1,Three Ponds Farm,Knoebels Three Ponds Golf Club,Watermill,Elysburg,New York,Pennsylvania,US,US
340,21_left,11303_right,-0.14894597320577743,2,Three Ponds Farm,Audubon Golf Club - Par Three,Watermill,Amherst,New York,New York,US,US
341,21_left,6041_right,-0.18391696132834606,3,Three Ponds Farm,Tri-Ponds Golf Club,Watermill,Tipton,New York,Indiana,US,US
342,21_left,11882_right,-0.2925666020373451,4,Three Ponds Farm,Twin Ponds Golf & Country Club,Watermill,New York Mills,New York,New York,US,US
343,21_left,11282_right,-0.4194362688925921,5,Three Ponds Farm,Dande Farms Golf Course,Watermill,Akron,New York,New York,US,US
556,22_left,1548_right,1.2675334586031062,1,The Links at Squaw Creek,The Resort at Squaw Creek,Olympic Valley,Olympic Valley,California,California,US,US
557,23_left,280_right,-0.07252805038832716,1,Mimosa Park Golf Course,Tall Pines Golf Club,Tuscaloosa,Tuscaloosa,Alabama,Alabama,US,US
558,23_left,42_right,-0.07643386081644589,2,Mimosa Park Golf Course,Highland Park Golf Course,Tuscaloosa,Birmingham,Alabama,Alabama,US,US
559,23_left,209_right,-0.11491879235512745,3,Mimosa Park Golf Course,Gateway Park Golf Course,Tuscaloosa,Montgomery,Alabama,Alabama,US,US
560,23_left,277_right,-0.12845222458337224,4,Mimosa Park Golf Course,Indian Hills Country Club,Tuscaloosa,Tuscaloosa,Alabama,Alabama,US,US
561,23_left,210_right,-0.1308228341791162,5,Mimosa Park Golf Course,Lagoon Park Golf Course,Tuscaloosa,Montgomery,Alabama,Alabama,US,US
731,24_left,1418_right,1.5561794042738852,1,Los Angeles Country Club - North,The Los Angeles Country Club - North,Los Angeles,Los Angeles,California,California,US,US
732,24_left,1430_right,1.5561794042738852,2,Los Angeles Country Club - North,The Los Angeles Country Club - North,Los Angeles,Los Angeles,California,California,US,US
733,24_left,1412_right,0.47185860212258984,3,Los Angeles Country Club - North,Mountain Gate Country Club - Lake/North,Los Angeles,Los Angeles,California,California,US,US
734,24_left,1413_right,0.463040293112706,4,Los Angeles Country Club - North,Mountain Gate Country Club - North/South,Los Angeles,Los Angeles,California,California,US,US
735,25_left,1557_right,0.9840891898618425,1,Riviera Country Club,The Riviera Country Club,Pacific Palisades,Pacific Palisades,California,California,US,US
736,26_left,1628_right,1.1743072673336052,1,Spyglass Hill Golf Course,Spyglass Hill Golf Course,Pebble Beach,Pebble Beach,California,California,US,US
737,27_left,1629_right,1.4326301520865512,1,The Links at Spanish Bay,The Links at Spanish Bay,Pebble Beach,Pebble Beach,California,California,US,US
738,28_left,17454_right,0.8473253287922583,1,Omni Homestead (Cascades),The Homestead - Cascades,Hot Springs,Hot Springs,Virginia,Virginia,US,US
739,28_left,17455_right,0.703981930709195,2,Omni Homestead (Cascades),The Homestead - Lower Cascades,Hot Springs,Hot Springs,Virginia,Virginia,US,US
